SKU,Unit_Price
CTL-25-ARM-PB,500
CTL-25-ARM-DL,480
CTL-25-ARM-CM,470
CTL-20-ARM-PB,450
CTL-25-UNARM-PB,400
COM-12PA-ARM-PB,700
COM-12PA-UNARM-PB,680
DATA-CAT6-ARM-PB,650
DATA-CAT6-UNARM-PB,690
WIRE-PVC-16-PB,600
WIRE-PVC-20-PB,500
PWR-4C-ARM-PB,480
PWR-3C-ARM-PB,550
PWR-2C-ARM-PB,750
INST-2C-SCREEN-PB,730
COAX-RG6-ARM-PB,700
RAIL-8C-ARM-PB,900
SOLAR-2C-PB,880
CTL-30-ARM-PB,850
CTL-15-UNARM-PB,870
DATA-CAT7-ARM-PB,800
WIRE-PVC-12-PB,250
PWR-4C-UNARM-PB,270
PWR-1C-ARM-PB,300
INST-2C-0.5-SCR,260
INST-2C-1.0-SCR,280
INST-4C-0.5-SCR,200
INST-4C-1.0-SCR,220
INST-6C-1.5-SCR,1200
INST-2C-0.5-ARM,1100
INST-4C-1.0-ARM,1000
INST-2C-1.5-HV,680
INST-4C-2.5-HV,1500
INST-2C-0.5-IS,900
INST-4C-1.0-IS,1300
INST-2C-STEEL,1400
INST-4C-AL,400
PWR-33KV-AL-185,1600
PWR-33KV-AL-240,1000
PWR-33KV-AL-300,450000
PWR-33KV-CU-240,380000
PWR-11KV-AL-185,520000
PWR-11KV-AL-240,120000
INST-2C-1.5-ARM-AL,90000
